msa_number,accuracy_percent,color,label,linecolor
3.9964664310954072,84.01635514018692,red,,red-orange
4.996466431095407,83.79672897196262,orange,c1,orange
4.996466431095407,83.38785046728972,red,c2,red
4.996466431095407,83.18691588785047,purple,c3,purple
3.9929328621908136,83.51752336448598,purple,,purple
2.9964664310954072,83.76869158878505,purple,,purple-red
1.9929328621908127,83.65420560747664,darkblue,c4,purple-darkblue
0.9964664310954059,83.44859813084113,darkblue,,darkblue
-0.007067137809187329,82.48247663551402,darkblue,,darkblue
