val_accuracy,val_f1score,nsamples,arch,seed,fold,epochs,srccategory,srcfile
0.9477611940298508,0.9469942222559612,670,resnext50,1328,6,80,best,best_metrics.csv
0.9567164179104478,0.95663625031332,670,resnext50,1328,7,80,best,best_metrics.csv
0.9582089552238806,0.9582516982459084,670,resnext50,1328,8,80,best,best_metrics.csv
0.9447761194029852,0.9448218076428324,670,resnext50,1328,9,80,best,best_metrics.csv
0.9477611940298508,0.9479692407605952,670,resnext50,1328,10,80,best,best_metrics.csv
0.946268656716418,0.9462627542690012,670,resnext50,1328,11,80,best,best_metrics.csv
0.9402985074626866,0.9404971111957944,670,resnext50,1328,12,80,best,best_metrics.csv
0.9447761194029852,0.944841969662908,670,resnext50,1328,13,80,best,best_metrics.csv
0.9342301943198804,0.9342029569490314,669,resnext50,1328,14,80,best,best_metrics.csv
0.9327354260089686,0.9325537030850252,669,resnext50,1328,15,80,best,best_metrics.csv
0.9476831091180868,0.94750274684197,669,resnext50,1328,16,80,best,best_metrics.csv
0.9581464872944694,0.9581203092166976,669,resnext50,1328,17,80,best,best_metrics.csv
0.9566517189835576,0.9568644777772324,669,resnext50,1328,18,80,best,best_metrics.csv
0.9446935724962632,0.9443678199611132,669,resnext50,1328,19,80,best,best_metrics.csv
0.9447761194029852,0.9453134721025404,670,resnext50,1329,0,80,best,best_metrics.csv
0.928358208955224,0.9283017965070506,670,resnext50,1329,1,80,best,best_metrics.csv
0.928358208955224,0.9283068959424372,670,resnext50,1329,2,80,best,best_metrics.csv
0.9373134328358208,0.9376190201100424,670,resnext50,1329,3,80,best,best_metrics.csv
0.9208955223880596,0.9203226337587008,670,resnext50,1329,4,80,best,best_metrics.csv
0.9417910447761194,0.941725394548406,670,resnext50,1329,5,80,best,best_metrics.csv
0.9507462686567164,0.9502460903080276,670,resnext50,1329,6,80,best,best_metrics.csv
0.9522388059701492,0.9518344275303438,670,resnext50,1329,7,80,best,best_metrics.csv
0.9611940298507464,0.9612562434197972,670,resnext50,1329,8,80,best,best_metrics.csv
0.9432835820895522,0.94331636260889,670,resnext50,1329,9,80,best,best_metrics.csv
0.9388059701492536,0.9385300344150536,670,resnext50,1329,10,80,best,best_metrics.csv
0.9507462686567164,0.9507826403561755,670,resnext50,1329,11,80,best,best_metrics.csv
0.9432835820895522,0.9436975328381656,670,resnext50,1329,12,80,best,best_metrics.csv
0.9417910447761194,0.9413451586618664,670,resnext50,1329,13,80,best,best_metrics.csv
0.9252615844544096,0.9250450053054634,669,resnext50,1329,14,80,best,best_metrics.csv
0.929745889387145,0.9296144061542652,669,resnext50,1329,15,80,best,best_metrics.csv
0.953662182361734,0.9536584679732916,669,resnext50,1329,16,80,best,best_metrics.csv
0.9551569506726456,0.9552685004786832,669,resnext50,1329,17,80,best,best_metrics.csv
0.9476831091180868,0.94787355179743,669,resnext50,1329,18,80,best,best_metrics.csv
0.9357249626307922,0.9353754373766026,669,resnext50,1329,19,80,best,best_metrics.csv
0.9447761194029852,0.944691562986255,670,resnext50,1330,0,80,best,best_metrics.csv
0.9328358208955224,0.9329181444234218,670,resnext50,1330,1,80,best,best_metrics.csv
0.9388059701492536,0.9381948869068568,670,resnext50,1330,2,80,best,best_metrics.csv
0.9432835820895522,0.9434456036583668,670,resnext50,1330,3,80,best,best_metrics.csv
0.9223880597014924,0.922253522926782,670,resnext50,1330,4,80,best,best_metrics.csv
0.9432835820895522,0.9428465066244884,670,resnext50,1330,5,80,best,best_metrics.csv
0.9492537313432836,0.9493111848943964,670,resnext50,1330,6,80,best,best_metrics.csv
0.9582089552238806,0.9583247138168164,670,resnext50,1330,7,80,best,best_metrics.csv
0.9597014925373134,0.9598137057903208,670,resnext50,1330,8,80,best,best_metrics.csv
0.9492537313432836,0.9490986410488008,670,resnext50,1330,9,80,best,best_metrics.csv
0.9402985074626866,0.9402398740666932,670,resnext50,1330,10,80,best,best_metrics.csv
0.9522388059701492,0.9524152658863362,670,resnext50,1330,11,80,best,best_metrics.csv
0.9507462686567164,0.9504637446618934,670,resnext50,1330,12,80,best,best_metrics.csv
0.9417910447761194,0.941497513851824,670,resnext50,1330,13,80,best,best_metrics.csv
0.9357249626307922,0.9356306730502708,669,resnext50,1330,14,80,best,best_metrics.csv
0.9312406576980568,0.9311691967659812,669,resnext50,1330,15,80,best,best_metrics.csv
0.953662182361734,0.953347886715528,669,resnext50,1330,16,80,best,best_metrics.csv
0.9581464872944694,0.9581588214562676,669,resnext50,1330,17,80,best,best_metrics.csv
0.9476831091180868,0.9477533291257833,669,resnext50,1330,18,80,best,best_metrics.csv
0.9402092675635276,0.9399235618678452,669,resnext50,1330,19,80,best,best_metrics.csv
0.9373134328358208,0.9377457944924842,670,resnext50,1331,0,80,best,best_metrics.csv
0.9373134328358208,0.9371302130066428,670,resnext50,1331,1,80,best,best_metrics.csv
0.9223880597014924,0.9211051698632888,670,resnext50,1331,2,80,best,best_metrics.csv
0.946268656716418,0.9462668357725702,670,resnext50,1331,3,80,best,best_metrics.csv
0.9149253731343284,0.9143716259028368,670,resnext50,1331,4,80,best,best_metrics.csv
0.9388059701492536,0.9385681030209596,670,resnext50,1331,5,80,best,best_metrics.csv
0.9492537313432836,0.9488038257365776,670,resnext50,1331,6,80,best,best_metrics.csv
0.9522388059701492,0.9524228771476704,670,resnext50,1331,7,80,best,best_metrics.csv
0.9582089552238806,0.9584327404758696,670,resnext50,1331,8,80,best,best_metrics.csv
0.9492537313432836,0.9489330656472988,670,resnext50,1331,9,80,best,best_metrics.csv
0.9432835820895522,0.943388604769357,670,resnext50,1331,10,80,best,best_metrics.csv
