val_accuracy,val_f1score,nsamples,arch,seed,fold,epochs,srccategory,srcfile
0.9373134328358208,0.9374355155326662,670,resnext50,42,0,80,last,last_metrics.csv
0.9298507462686568,0.9296782445387204,670,resnext50,42,1,80,last,last_metrics.csv
0.9253731343283582,0.924672397550788,670,resnext50,42,2,80,last,last_metrics.csv
0.9417910447761194,0.9417161061366294,670,resnext50,42,3,80,last,last_metrics.csv
0.9029850746268656,0.9030503969091516,670,resnext50,42,4,80,last,last_metrics.csv
0.9313432835820896,0.9307759880070712,670,resnext50,42,5,80,last,last_metrics.csv
0.9447761194029852,0.9444289492663998,670,resnext50,42,6,80,last,last_metrics.csv
0.953731343283582,0.9536929838220096,670,resnext50,42,7,80,last,last_metrics.csv
0.9522388059701492,0.9522755275692644,670,resnext50,42,8,80,last,last_metrics.csv
0.9313432835820896,0.9310688119874582,670,resnext50,42,9,80,last,last_metrics.csv
0.928358208955224,0.9281008227320054,670,resnext50,42,10,80,last,last_metrics.csv
0.9238805970149254,0.9240706632498288,670,resnext50,42,11,80,last,last_metrics.csv
0.9328358208955224,0.9331719416266286,670,resnext50,42,12,80,last,last_metrics.csv
0.935820895522388,0.9357732661294508,670,resnext50,42,13,80,last,last_metrics.csv
0.9237668161434978,0.9238864882202008,669,resnext50,42,14,80,last,last_metrics.csv
0.9342301943198804,0.9338681591998248,669,resnext50,42,15,80,last,last_metrics.csv
0.9402092675635276,0.9398173149183114,669,resnext50,42,16,80,last,last_metrics.csv
0.9551569506726456,0.9551905084533938,669,resnext50,42,17,80,last,last_metrics.csv
0.9461883408071748,0.9464720251834504,669,resnext50,42,18,80,last,last_metrics.csv
0.9342301943198804,0.9339518499821912,669,resnext50,42,19,80,last,last_metrics.csv
0.9074626865671642,0.906814086276528,670,resnet50,42,0,80,last,last_metrics.csv
0.8940298507462686,0.8939233783182229,670,resnet50,42,1,80,last,last_metrics.csv
0.8985074626865671,0.8985980345522594,670,resnet50,42,2,80,last,last_metrics.csv
0.9059701492537312,0.90604327382608,670,resnet50,42,3,80,last,last_metrics.csv
0.8746268656716418,0.8738869140267783,670,resnet50,42,4,80,last,last_metrics.csv
0.9014925373134328,0.9012662033284922,670,resnet50,42,5,80,last,last_metrics.csv
0.9029850746268656,0.9025983465843048,670,resnet50,42,6,80,last,last_metrics.csv
0.9014925373134328,0.9010343383670628,670,resnet50,42,7,80,last,last_metrics.csv
0.9223880597014924,0.9221592034679345,670,resnet50,42,8,80,last,last_metrics.csv
0.9029850746268656,0.9036292007105988,670,resnet50,42,9,80,last,last_metrics.csv
0.9,0.8994554686585405,670,resnet50,42,10,80,last,last_metrics.csv
0.9164179104477612,0.9161598929405432,670,resnet50,42,11,80,last,last_metrics.csv
0.8955223880597015,0.894695974226006,670,resnet50,42,12,80,last,last_metrics.csv
0.8970149253731343,0.8970441947051216,670,resnet50,42,13,80,last,last_metrics.csv
0.9088191330343796,0.9085773520146296,669,resnet50,42,14,80,last,last_metrics.csv
0.8923766816143498,0.8927971022251447,669,resnet50,42,15,80,last,last_metrics.csv
0.9103139013452914,0.909962087806512,669,resnet50,42,16,80,last,last_metrics.csv
0.9162929745889388,0.916341533180842,669,resnet50,42,17,80,last,last_metrics.csv
0.9162929745889388,0.916335417207154,669,resnet50,42,18,80,last,last_metrics.csv
0.9013452914798208,0.9005552871631564,669,resnet50,42,19,80,last,last_metrics.csv
0.7567164179104477,0.7561725383674875,670,vit_small,42,0,80,last,last_metrics.csv
0.7417910447761195,0.7421286805170221,670,vit_small,42,1,80,last,last_metrics.csv
0.7283582089552239,0.7244474857106842,670,vit_small,42,2,80,last,last_metrics.csv
0.7373134328358208,0.7366821608128405,670,vit_small,42,3,80,last,last_metrics.csv
0.691044776119403,0.6894369005166714,670,vit_small,42,4,80,last,last_metrics.csv
0.7388059701492538,0.7381090114823275,670,vit_small,42,5,80,last,last_metrics.csv
0.7388059701492538,0.7363476671376026,670,vit_small,42,6,80,last,last_metrics.csv
0.7238805970149254,0.7232749677915227,670,vit_small,42,7,80,last,last_metrics.csv
0.7671641791044777,0.7645864983081665,670,vit_small,42,8,80,last,last_metrics.csv
0.7492537313432835,0.7502464824438204,670,vit_small,42,9,80,last,last_metrics.csv
0.7388059701492538,0.7384205071249837,670,vit_small,42,10,80,last,last_metrics.csv
0.7388059701492538,0.7374665619838664,670,vit_small,42,11,80,last,last_metrics.csv
0.7208955223880597,0.7188533537846461,670,vit_small,42,12,80,last,last_metrics.csv
0.7328358208955223,0.73166190320675,670,vit_small,42,13,80,last,last_metrics.csv
0.7309417040358744,0.7286254632881263,669,vit_small,42,14,80,last,last_metrics.csv
0.7339312406576981,0.7357627553213018,669,vit_small,42,15,80,last,last_metrics.csv
0.7384155455904334,0.7370580498215541,669,vit_small,42,16,80,last,last_metrics.csv
0.7414050822122571,0.7399136204003829,669,vit_small,42,17,80,last,last_metrics.csv
0.7713004484304933,0.7714151858115701,669,vit_small,42,18,80,last,last_metrics.csv
0.7443946188340808,0.7457950076109063,669,vit_small,42,19,80,last,last_metrics.csv
0.9402985074626866,0.9403691848065472,670,resnext50,1328,0,80,last,last_metrics.csv
0.926865671641791,0.92662630267934,670,resnext50,1328,1,80,last,last_metrics.csv
0.928358208955224,0.9272756528398282,670,resnext50,1328,2,80,last,last_metrics.csv
0.9402985074626866,0.940330677748227,670,resnext50,1328,3,80,last,last_metrics.csv
0.9014925373134328,0.9005268618980776,670,resnext50,1328,4,80,last,last_metrics.csv
0.935820895522388,0.9355102333661696,670,resnext50,1328,5,80,last,last_metrics.csv
0.9402985074626866,0.9394520992117332,670,resnext50,1328,6,80,last,last_metrics.csv
0.9507462686567164,0.950705258081702,670,resnext50,1328,7,80,last,last_metrics.csv
0.9567164179104478,0.9567893992838106,670,resnext50,1328,8,80,last,last_metrics.csv
0.9402985074626866,0.9400761656983244,670,resnext50,1328,9,80,last,last_metrics.csv
0.9402985074626866,0.940265293393317,670,resnext50,1328,10,80,last,last_metrics.csv
0.9447761194029852,0.9447641171583414,670,resnext50,1328,11,80,last,last_metrics.csv
0.9388059701492536,0.93893165006222,670,resnext50,1328,12,80,last,last_metrics.csv
0.9388059701492536,0.9389617234808364,670,resnext50,1328,13,80,last,last_metrics.csv
0.9282511210762332,0.9281943080179345,669,resnext50,1328,14,80,last,last_metrics.csv
0.9312406576980568,0.9311001143874884,669,resnext50,1328,15,80,last,last_metrics.csv
0.9417040358744396,0.9416058219326954,669,resnext50,1328,16,80,last,last_metrics.csv
0.9446935724962632,0.9445705612916324,669,resnext50,1328,17,80,last,last_metrics.csv
0.953662182361734,0.9538353875245824,669,resnext50,1328,18,80,last,last_metrics.csv
0.9402092675635276,0.9397824290351744,669,resnext50,1328,19,80,last,last_metrics.csv
0.9417910447761194,0.9422119358778726,670,resnext50,1329,0,80,last,last_metrics.csv
0.9253731343283582,0.9253107378814311,670,resnext50,1329,1,80,last,last_metrics.csv
0.9208955223880596,0.9201561534017426,670,resnext50,1329,2,80,last,last_metrics.csv
0.935820895522388,0.935777138215289,670,resnext50,1329,3,80,last,last_metrics.csv
